control_id,family,title,control_text
AC-1,AC,Policy and Procedures,"The organization develops, documents, and disseminates an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance."
AC-2,AC,Account Management,"The organization manages information system accounts, including establishing, activating, modifying, reviewing, disabling, and removing accounts in accordance with organizational policies."
AC-3,AC,Access Enforcement,"The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies."
AC-4,AC,Information Flow Enforcement,"The information system enforces approved authorizations for controlling the flow of information within the system and between connected systems based on information flow control policies."
AC-7,AC,Unsuccessful Logons,"The information system enforces a limit of consecutive invalid logon attempts by a user during a specific time period and automatically locks the account or delays the next logon."
AU-1,AU,Policy and Procedures,"The organization develops, documents, and disseminates an audit and accountability policy that addresses purpose, scope, roles, responsibilities, management commitment, and compliance."
AU-2,AU,Event Logging,"The organization determines that the information system is capable of auditing the following events: user authentication, privilege use, file access, and system configuration changes."
AU-3,AU,Content of Audit Records,"The information system generates audit records containing information that establishes what type of event occurred, when it occurred, where it occurred, and the source of the event."
AU-6,AU,Audit Record Review,"The organization reviews and analyzes information system audit records for indications of inappropriate or unusual activity and reports findings to designated officials."
AU-12,AU,Audit Generation,"The information system provides audit record generation capability for the audit events defined by the organization at all components where audit capability is required."
CM-1,CM,Policy and Procedures,"The organization develops, documents, and disseminates a configuration management policy that addresses purpose, scope, roles, responsibilities, management commitment, and compliance."
CM-2,CM,Baseline Configuration,"The organization develops, documents, and maintains under configuration control, a current baseline configuration of the information system."
CM-3,CM,Configuration Change Control,"The organization determines the types of changes to the information system that are configuration controlled and reviews proposed configuration changes."
CM-7,CM,Least Functionality,"The organization configures the information system to provide only essential capabilities and prohibits or restricts the use of non-essential functions, ports, and protocols."
CM-8,CM,System Component Inventory,"The organization develops and documents an inventory of information system components that accurately reflects the current system and includes all components within the authorization boundary."
IA-1,IA,Policy and Procedures,"The organization develops, documents, and disseminates an identification and authentication policy that addresses purpose, scope, roles, responsibilities, and compliance."
IA-2,IA,Identification and Authentication (Organizational Users),"The information system uniquely identifies and authenticates organizational users or processes acting on behalf of organizational users."
IA-5,IA,Authenticator Management,"The organization manages information system authenticators by establishing and maintaining initial authenticator content and ensuring that authenticators have sufficient strength."
IA-8,IA,Identification and Authentication (Non-Organizational Users),"The information system uniquely identifies and authenticates non-organizational users or processes acting on behalf of non-organizational users."
IA-11,IA,Re-authentication,"The information system requires users to re-authenticate when changing authenticators or after a defined period of time or event."
IR-1,IR,Policy and Procedures,"The organization develops, documents, and disseminates an incident response policy that addresses purpose, scope, roles, responsibilities, and compliance."
IR-4,IR,Incident Handling,"The organization implements an incident handling capability for security incidents that includes preparation, detection and analysis, containment, eradication, and recovery."
IR-6,IR,Incident Reporting,"The organization requires personnel to report suspected security incidents to the incident response capability within the defined time period."
IR-8,IR,Incident Response Plan,"The organization develops an incident response plan that provides a roadmap for implementing the incident response capability and describes the structure of the response team."
IR-10,IR,Incident Response Support,"The organization provides an incident response support resources, including the ability to communicate with incident response personnel and technical experts."
SC-1,SC,Policy and Procedures,"The organization develops, documents, and disseminates a system and communications protection policy that addresses purpose, scope, roles, and responsibilities."
SC-5,SC,Denial of Service Protection,"The information system protects against or limits the effects of denial of service attacks by employing boundary protection devices and resource management."
SC-7,SC,Boundary Protection,"The information system monitors and controls communications at the external boundary of the system and at key internal boundaries within the system."
SC-8,SC,Transmission Confidentiality and Integrity,"The information system protects the confidentiality and integrity of transmitted information using cryptographic mechanisms or protected secondary communication paths."
SC-13,SC,Cryptographic Protection,"The information system implements cryptographic mechanisms to prevent unauthorized disclosure of information and to detect unauthorized modification during transmission."